ID	Source	Direction	Target	Status	Contributor	Shift Type	Language	Language ID	Lexeme	Source/Sense1	Target/Sense2	Reference	Comments	Contributor
1737	thin (of an object)	→	coward	New	MB	Polysemy	Tigre	tigr1270	raḳiḳ	 'thin' 	'coward' 	 	 LH 151	 MB
1738	head	→	edge	New	MB	Polysemy	Tigre	tigr1270	raʔas	 'head' 	'end, side' 	 	 (LH 155).	 MB
1739	head	→	kind (n.)	New	MB	Polysemy	Tigre	tigr1270	raʔas	 'head' 	'kind, sort' 	 	 LH 155	 MB
1740	womb	→	origin (n.)	New	MB	Polysemy	Tigre	tigr1270	rəḥəm	 'uterus, womb' 	'origin' 	 	 LH 146: the term goes back to the Protosemitic word meaning 'womb'	 MB
1741	to hold (in hands)	→	to defend	New	MB	Polysemy	Tigre	tigr1270	ṣabṭa	 ''to seize, to catch, to hold fast'' 	'to protect' 	 	 LH 640	 MB
1742	to grasp, seize	→	to learn, study	New	MB	Polysemy	Tigre	tigr1270	ṣabṭa	 'to seize, to catch, to hold fast' 	'to take over, to learn' 	 	 LH 52	 MB
1743	to strain	→	to grieve (tr.)	New	MB	Polysemy	Tigre	tigr1270	sadda	 'to draw on (e.g. Leather on the drum), to fasten' 	'to disturb, to worry' 	 	 LH 197. Cf. Also the derivatives səddat 'trouble', sədud 'miserable: sick' etc.	 MB
1744	to burn (intr.)	→	spot, stain	New	MB	Polysemy	Russian	russ1263	palit'	 'to burn' 	'spot on an animal's fur' 	 	 	 MR
1745	root (of a plant)	→	mountain foot	New	MB	Polysemy	Ancient Greek	anci1242	ῥίζα	 'root' 	'foot (mountain)' 	 	 	 MR
1746	to pull	→	to drink	Accepted	MB	Polysemy	Arabic	stan1318	ğad̲aba	 'to draw, to pull' 	'to drink' 	 	 Lane 394	 MB
1747	lip	→	word	New	MB	Polysemy	Tigre	tigr1270	kanfar	 'lip' 	'word, speech' 	 	 (LH 418).	 MB
1748	sharp	→	strong	Accepted	MB	Polysemy	Sanskrit	sans1269	tivrá	 'sharp' 	'strong' 	 	 Кочергина 244	 MR
1749	to follow	→	to be alike	Accepted	MB	Polysemy	Tibetan	tibe1272	rjes-gro	 'following' 	'similar' 	 	 Рерих 3, 204. The word has been derived from rjes 'trace'. Cf. also rjes-gro 'gyur-ba 'follower: similar'	 IG
1750	to follow	→	to pasture, shepherd	New	MB	Derivation	Tigre	tigr1270	talā	 'to follow (smn)' → 		 	 LH 304	 MB
1751	to follow	→	friend	New	MB	Derivation	Tigre	tigr1270	talā	 'to follow (smn)' → 		 	 LH 304	 MB
1752	to play (intr.)	→	friend	New	MB	Derivation	Tigre	tigr1270	(tə)talhā	 'to play' → 		 	 LH 302	 MB
1753	blacksmith	→	evil spirit	New	MB	Polysemy	Tigre	tigr1270	nahābāy	 'blacksmith' 	'evil spirit' 	 	 LH 323	 MB
1754	sack, bag	→	<measure of volume>	New	MB	Polysemy	Tigre	tigr1270	nəḥur	 'big leather bag' 	'measure of capacity for dry substances' 	 	 LH 324	 MB
1755	to refuse	→	to hate, to dislike	New	MB	Polysemy	Tigre	tigr1270	ʔabā	 'to deny' 	'to hate' 	 	 LH 368-369. There is a difference in subcategorization shemes: in meaning A the preposition ʔəl 'to, for' is used, in meaning B the verb subcategorizes for the direct object.	 MB
1756	to hate, to dislike	→	enemy	Accepted	MB	Derivation	Tigre	tigr1270	ʔabā	 'to hate' → 		 	 LH 368	 MB
1757	can, to be able	→	to endure	New	MB	Polysemy	Tigre	tigr1270	daḳba	 'to be able' 	'to endure' 	 	 (LH 525).	 MB
1758	can, to be able	→	to win	New	MB	Polysemy	Yakut	yaku1245	кыай-	 'to be able, to manage' 	'to win, to defeat' 	 	 ЯРС 203. Cf. Also the derivative кыамта 1) capability. кыамтата тиийбэт 'he does not have enough capabilities (to do smth)' 2) tech. 'capacity' мотуор кыамтата 'the motor capacity'	 IG
1759	belly	→	fat (adj.)(of a person)	New	MB	Derivation	Tigre	tigr1270	karšat	 'belly, stomach, interior' → 		 	 (LH 399)	 MB
1760	part	→	body part	New	MB	Polysemy	Tigre	tigr1270	kətfat	 'part' 	'body part, limb' 	 	 (LH 415)	 MB
1761	part	→	relative (n.)	New	MB	Polysemy	Tigre	tigr1270	kətfat	 'part, piece' 	'relative' 	 	 LH 415	 MB
1762	to throw	→	to winnow	New	MB	Polysemy	Tigre	tigr1270	warwara	 'to throw (stone, spear)' 	'to fan (corn)' 	 	 LH 435	 MB
1763	to know	→	sign, designation	Accepted	MB	Derivation	Russian	russ1263	znat'	 'to know' — 		 	 Фасмер 2: 100.	 MB
1764	to reach	—	to grow up	Accepted	MB	Polysemy	Aghul	aghu1253	qučarxas	 'to catch up with, to reach' 	'to grow up' 	 	 	 All
1765	to reach	→	to ripen	Accepted	MB	Polysemy	Amharic	amha1245	därräsä	 'to attain, to reach' 	''cозревать (о зерне, фруктах)'' 	 	 K 1736	 MB
1766	to reach	→	to understand	Accepted	MB	Semantic evolution	Old East Slavic	oldr1238	постичи	 'to catch up with' 	Russian 	 	 (Sreznevskij 1264)	 AZ
1767	to reach	→	to become ready (of food)	New	MB	Polysemy	Arabic	stan1318	ʔadraka	 'to reach, to catch up, to overtake' 	'to reach necessary state (wine)' 	 	 Lane 873	 MB
1768	man	—	penis	New	MB	Cognates	Manang	mana1290	byɯŋ	 'male'  — Tsangla 	male	 	 Matisoff 2008: 199	 DG
1769	tail	→	behind	New	MB	Derivation	Tigre	tigr1270	zanab	 'tail' → 		 	 LH 500-501	 MB
1770	tail	→	scarf	New	MB	Polysemy	Tigre	tigr1270	zanab	 'tail' 	'sling, belt' 	 	 LH 500	 MB
1771	to tread	→	to copulate	Accepted	MB	Polysemy	Mongolian (Khalkha)	halh1238	gišge-	 'to trample' 	'to cover a female animal, to copulate' 	 	 	 IG
1772	to tread	→	to thresh (grain)	Accepted	MB	Polysemy	Arabic	stan1318	dāsa	 'to trample' 	'to thresh' 	 	 Lane 932-933	 MB
1773	can, to be able	→	strong	Accepted	MB	Cognates	Russian	russ1263	moč'	 'to be able'  → Russian 	to be able	 	" Vasmer: The Proto-Slav. *moktь from *mogo§ ""I can"": related to the Got. mahts ""might, force"", Old High Germ., Mid. High Germ. maht - the same."	 TM
1774	wing	—	border	New	MB	Polysemy	Tigre	tigr1270	danbar	 'wing' 	'border' 	 	 LH 531	 MB
1775	to repeat	→	to tell	New	MB	Polysemy	Tigre	tigr1270	dagma	 'to repeat' 	'to tell, to narrate' 	 	 (LH 542). Cf. Dəgəm 'tale, story' (LH 242)	 MB
1776	female calf	→	girl	Accepted	MB	Polysemy	Ancient Greek	anci1242	πόρις	 'heifer' 	'girl' 	 	 	 MR
1777	rock	—	knee-pan	New	MB	Polysemy	Tigre	tigr1270	gələb	 'rock' 	'knee cap' 	 	 LH 562. Cf. Amh. gʷəlbät 'knee' (LH 562)	 MB
1778	forehead	—	stone, rock	New	MB	Polysemy	Tigre	tigr1270	gəməʔ	 'bone above the eye, frontal bone' 	'big stone, lumb of rock' 	 	 (LH 569).	 MB
1779	<vessel>	→	property, possessions	New	MB	Polysemy	Tigre	tigr1270	gərāb	 'vessel' 	'possessions' 	 	 LH 575	 MB
1780	to sit down	→	to give up, stop doing	New	MB	Polysemy	Tigre	tigr1270	təgassā	 'to sit down, to stop, to stay' 	'to stop' 	 	 LH 581	 MB
1781	moist, humid	→	lavish	New	MB	Polysemy	Tigre	tigr1270	ṭalla	 'to be wet' 	'to be generous' 	 	 LH 606	 MB
1782	raw	→	false, wrong	New	MB	Polysemy	Yakut	yaku1245	сиикэй	 'wet' 	'false, delusive' 	 	 ЯРС 322.	 IG
1783	to contain	→	to remember	Accepted	MB	Polysemy	Arabic	stan1318	waʕā´	 'to hold' 	'to remember, to memorize' 	 	 Lane 962	 MB
1784	hair	→	happiness, luck	New	MB	Polysemy	Tigre	tigr1270	čəgar	 'hair' 	'a hair that brings luck' 	 	 LH 630	 MB
1785	to press down	→	to suck	New	MB	Polysemy	Tigre	tigr1270	ṣamma	 'to press, to wring, to wring' 	'to suck, to drink' 	 	 LH 634	 MB
1786	narrow	→	to oppress	New	MB	Derivation	Tigre	tigr1270	ṣabib	 'narrow' → 		 	 LH 640	 MB
1787	to grasp, seize	→	servant	New	MB	Derivation	Tigre	tigr1270	ṣabṭa	 'to grasp, to catch, to hold' → 		 	 LH 640-41. Possibly, the intermediate meaning of ṣabṭa 'to take care'	 MB
1788	to grasp, seize	→	to care for, look after	New	MB	Polysemy	Tigre	tigr1270	ṣabṭa	 'grasp, to catch, to hold' 	'to take care' 	 	 LH 640	 MB
1789	strong	→	noble	New	MB	Polysemy	Tigre	tigr1270	ṣənuʕ	 'strong' 	'noble' 	 	 LH 642	 MB
1790	satiated, full	→	rich	New	MB	Polysemy	Adyghe	adyg1241	ʁešxeč'ʲǝʁe	 'full' 	'rich' 	 	 АдРС 53	 MR
1791	to separate	→	to decide	Accepted	MB	Polysemy	Tigre	tigr1270	fāraga	 'to separate' 	'to decide' 	 	 LH 660	 MB
1792	to get tired	—	blunt	New	MB	Polysemy	Arabic	stan1318	kalla	 'to be tired, weak' 	'to be blunt (sword)' 	 	 Lane 3002, BK 918	 MB
1793	man	→	brave	Accepted	MB	Derivation	Adyghe	adyg1241	ƛ'ǝ	 'man' → 		 	 АдРС 198-199	 MR
1794	to eat	→	to ache	New	MB	Polysemy	Amharic	amha1245	bälla	 'to eat' 	'to hurt (body part)' 	 	 K 857	 MB
1795	to cut (tr.)	→	spicy	New	MB	Polysemy	Arabic	stan1318	ḥad̲aḳa	 'to cut' 	'to sting the mouth' 	 	 Lane 535: LA X, 41	 MB
1796	to cut (tr.)	→	to understand	New	MB	Polysemy	Arabic	stan1318	ḥad̲aḳa	 'to cut' 	'to be skilled, knowledgeable' 	 	 	 MB
1797	<young animal>	→	young man	New	MB	Polysemy	Tigrinya	tigr1271	šədän	 'young ox not yet accustomed to the plow' 	'strong, young man' 	 	 (KT 868).	 MB
1798	to ride (e.g., a horse)	→	to copulate	Accepted	MB	Polysemy	Tigrinya	tigr1271	särärä	 'to climb, mount a horse, to ride (an equine)' 	'to cover, mount the female (animals)' 	 KT 671	 	 MB
1799	to call (somebody), to make respond	→	to make a telephone call	Accepted	MB	Polysemy	Italian	ital1282	chiamare	 'to call' 	'to phone' 	 	 	 MB
1800	tail	→	penis	Accepted	MB	Cognates	Chaha	seba1251	ǧəwä	 'tail of animal'  → Gogot 	tail of animal	 	 (LGur. I 64: 573: LGur. 319).	 MB
1801	eyelash	→	edge	New	MB	Polysemy	Italian	ital1282	cìglio	 'eye lash' 	'edge (bluff, abyss)' 	 	 	 MB
1802	to care for, look after	—	to worry, be agitated	New	MB	Derivation	Russian	russ1263	zabotit'sja	 'to take care' — 		 	 	 MB
1803	to turn, rotate (intr.)	→	to address (someone), to speak (to someone)	New	MB	Derivation	Russian	russ1263	vraščat'sja	 'to spin, to rotate' → 		 	 	 MB
1804	to be awake	→	to guard	New	MB	Polysemy	Arabic	stan1318	sahira	 ''to be sleepless'' 	''to watch, guard, look after'' 	 	 Wehr 509	 MB
1805	tail	—	lower part	New	MB	Polysemy	Arabic	stan1318	ḏayl-	 'tail' 	'base, bottom, lower part' 	 	 Lane 990-91	 MB
1806	tail	→	to follow logically	New	MB	Polysemy	Arabic	stan1318	ḏayl-	 'tail' 	'result, consequence' 	 	 Wehr 366	 MB
1807	to see/to look at	→	to guard	New	MB	Derivation	Russian	russ1263	zret'	 'to see' → 		 	 	 MB
1808	moon	→	mad	New	MB	Derivation	Geez	geez1241	warḫ	 'moon' → 		 	 LLA 898-99. Possibly in Mat. 4:24 there is a Greek calque	 MB
1809	tail	→	to follow	New	MB	Derivation	Arabic	stan1318	ḏanab-	 '‘tail’' → 		 	 Lane 979-980	 MB
1810	to follow	→	to punish	New	MB	Derivation	Classical Arabic	stan1318	ʕaḳaba	 'to follow, come after' → 		 	 (Lane 2099-2100)	 MB
1811	heel (of a foot)	→	to result in	New	MB	Polysemy	Classical Arabic	stan1318	ʕaḳib-	 '‘heel’' 	'‘the end, latter part: consequence, result, issue’' 	 	" Lane 2100. Через промежуточное значение ʕaḳaba ‘to follow, come after’. Не вполне надежно: возможно, развитие значениия ""результaт"" у лексемы ""пятка"" возникает под влиянием отнокоренных слов со значением ""результат"", образованных от глагола ""следовать"" (см. Следующий переход)."	 MB
1812	to follow	→	to result in	New	MB	Derivation	Classical Arabic	stan1318	ʕaḳaba	 '‘to follow, come after’' → 		 	 Lane 2099-2100	 MB
1814	to result in	→	child	New	MB	Polysemy	Classical Arabic	stan1318	ʕaḳib-	 '‘the end, latter part: consequence, result, issue’' 	''the child, or children'' 	 	 Lane 2100, 2101	 MB
1815	heel (of a foot)	→	end	New	MB	Polysemy	Classical Arabic	stan1318	ʕaḳib-	 '‘heel’' 	'‘the end, latter part’' 	 	 Lane 2100	 MB
1816	to hang	→	to depend	Accepted	MB	Derivation	Russian	russ1263	viset'	 'to hang (intr.)' → 		 	 A Latin or a French calque	 MB
1817	to make black	—	to slander	New	MB	Polysemy	Tigrinya	tigr1271	ʔaṣällämä	 'to darken, blacken, to make black' 	'to slander, defame, ruin s.o.’s reputation, to malign' 	 	 KT 2541.	 MB
1818	raw	→	rude, impolite	New	MB	Polysemy	Russian	russ1263	neotesannyj	 'coarse, unpolished' 	'barbaric' 	 	 	 MB
1819	to harness	→	to force to work	New	MB	Polysemy	Russian	russ1263	zaprjagat'	 'to harness, to yoke' 	'to make work (colloq.)' 	 	 	 MB
1820	to make hard	→	to learn, study	New	MB	Polysemy	Tigrinya	tigr1271	ʔaṣnəʕe	 'to strengthen, reinforce, to cement, secure, steady' 	'to study, read over, memorize, learn by heart' 	 	 cf. ṣənuʕ ‘strong, tough, hard’. KT 2592	 MB
1821	thick (of a growth, hair)	→	intensive	New	MB	Polysemy	Tigrinya	tigr1271	ṣəʕuḳ̃	 '‘dense, thick’' 	'‘intense, intensive’' 	 	 KT 2604-2605	 MB
1822	slow (adj.)	→	stupid	New	MB	Polysemy	Sanskrit	sans1269	manda	 'slow' 	'stupid' 	 	 Кочергина 497	 MR
1823	young	→	skilful, dexterous	New	MB	Polysemy	Amharic	amha1245	gʷäbbäz	 'young man, fine young man' 	'smart, brilliant, clever: strong, brave' 	 	 (K 1984).	 MB
1824	to dig	→	hoof	New	MB	Derivation	Russian	russ1263	kopat'	 'to dig' → 		 	 Фасмер 320	 MB
1825	to fall down	→	to attack	Accepted	MB	Polysemy	Classical Arabic	stan1318	waḳaʕa	 '’падать’' 	'to attack' 	 	 Lane 3057: BK 1586: LA VIII 402	 MB
1826	to sleep	→	to come to end, to ceise	New	MB	Polysemy	Tigrinya	tigr1271	däḳḳäsädäḳḳäsä	 '‘to sleep, slumber, to retire (for the night)’' 	'‘to come to an end, to be over (matter, affair), to be settled, resolved (argument, quarrel)’' 	 	 KT 2105	 MB
1827	to mill	→	to oppress	Accepted	MB	Polysemy	Tigrinya	tigr1271	däḳ̃ʷäsä	 '‘to pound, grind to a powder (salt, pepper etc.), to pulverize, crush to bits’' 	'‘to repress, subdue, suppress, quash (a political activity, a rebellion): to stunt (development)’' 	 	 KT 2107	 MB
1828	hand/arm	→	part	New	MB	Polysemy	Geez	geez1241	ʔəd	 'arm, hand' 	'part' 	 	 LLA 799	 MB
1829	wing	→	side (n.)	New	MB	Polysemy	Classical Arabic	stan1318	ǧanāḥ-	 'wing' 	'side' 	 	 Lane 469	 MB
1830	wing	→	to defend	New	MB	Polysemy	Classical Arabic	stan1318	ǧanāḥ-	 'wing' 	'neighbourhood: protection' 	 	 Lane 469	 MB
1831	to bind	→	dense, thick (liquid)	New	MB	Derivation	Russian	russ1263	vjazat'	 'to tie, to bind' → 		 	 	 MB
1832	to bind	→	to form the fruit (of plant)	New	MB	Derivation	Russian	russ1263	vjazat'	 'to tie, to bind' → 		 	 	 MB
1833	to move quickly	→	to care for, look after	New	MB	Polysemy	Classical Arabic	stan1318	saʕāˊ	 '‘to walk, go quickly’' 	''to be active, busy and bustling'' 	 	 Lane 1366	 MB
1834	to want	→	to fornicate	New	MB	Polysemy	Classical Arabic	stan1318	baġāˊ	 '‘to seek, desire, love’' 	'‘to commit fornication, adultary’' 	 	 Lane 231	 MB
1835	to believe	—	to be glad	New	IG									
1836	friend	→	lover	Accepted	IG	Polysemy	Bulgarian	bulg1262	drugar	 'friend' 	'lover' 	 	 The realization has been proposed by G. Zimovets and G. Yavorskaya.	 IG
1837	to lie (posture)	—	to sleep	Accepted	IG	Derivation	Kott	kott1239	ďātaŋ	 'to lie' — 		 	 Старостин 1995, 291	 MR
1838	free of charge	—	in vain	Accepted	IG	Polysemy	Serbo-Croatian	out1528 	džabe	 'for free, for nothing' 	'in vain' 	 	 Cf. Rumanian and Gagauz	 DG
1839	to be born	—	to inhabit, live	Suspended	IG	Polysemy	Nanaj	nana1257	балди-	 'to be born' 	'to live, to dwell' 	 	" шрифт - ""и""долгое"	 IG
1840	sky	—	weather	Accepted	IG	Polysemy	Manchu	manc1252	абқа	 'sky' 	'weather' 	 	 ТМС 1,8	 MR
1841	cartilage	—	branch, twig	New	IG									
1842	conversation	—	feast	New	IG	Cognates	Russian	russ1263	beseda	 'conversation, talk'   Belarusan 	conversation, talk	 	 	 IG
1843	fun, gaiety	—	wedding	New	IG	Cognates	Russian	russ1263	vesel'e	 'fun'   Belarusan 	fun	 	 	 IG
1844	to pull	→	to last	New	IG	Polysemy	Turkish	nucl1301	çek-	 'to pull, to draw, to drag' 	'to last' 	 	 ТуРС 178.	 IG
1845	tongue (body part)	→	gulf	New	IG	Polysemy	Karaim	kara1464	тиль	 'language, speech' 	'gulf' 	 	 КРПС 528.	 IG
1846	genuine, true	→	own (of a relative)	New	IG	Polysemy	Karaim	kara1464	тикри	 'original, authentic' 	'native, dear' 	 	 КРПС 528.	 IG
1847	to fill (tr.)	→	to end	New	IG	Polysemy	Karaim	kara1464	тол-	 'to fill, to be full' 	'to be over (time)' 	 	 КРПС 535.	 IG
1848	to stand	→	servant	Suspended	IG	Derivation	Karaim	kara1464	тур-	 'to stand'  		 	 КРПС 548	 IG
1849	to stand	→	to inhabit, live	Suspended	IG									
1850	to hold (in hands)	→	to promise	New	IG	Polysemy	Karaim	kara1464	тутун-	 'to hold, to grasp' 	'to promise' 	 	 КРПС 550. Derivatives from тут- 'to hold'.	 IG
1851	to hold (in hands)	→	to coagulate, curdle	New	IG	Polysemy	Tigre	tigr1270	ṣabṭa	 ''to seize, to catch, to hold fast'' 	''to become firm (porridge)'' 	 	 LH 640	 MB
1852	to grasp, seize	→	to fight, scuffle	Accepted	IG	Derivation	Russian	russ1263	shvatit'	 'to seize, to grasp'  		 	 	 IG
1853	to breathe	→	to rest	Accepted	IG	Polysemy	Classical Arabic	stan1318	ʔarāḥa	 'to breathe' 	'to have rest' 	 	 (Lane 1179).	 MB
1854	to sway	→	to worry, be agitated	Accepted	IG	Polysemy	Lezgian	lezg1247	qːarsatmiš xun	 'to oscillate, to jerk,' 	'to worry, to be anxious' 	 	 (LezgRus 181)	 TM
1855	to want	→	although	New	IG	Derivation	Russian	russ1263	hotet'	 'to want'  		 	 	 IG
1856	to go out	→	to rise (of heavenly bodies)	Accepted	IG	Polysemy	Itelmen	itel1242	эскас	 'to go out' 	'to rise (sun, moon)' 	 	 Володин, Халоймова 121	 MR
1857	to be surprised	—	to go astray	Suspended	IG	Polysemy	Karaim	kara1464	шаш-	 'to be surprised, to be amazed' 	'to get lost' 	 	" КРПС 645. The verb means also ""to go mad"". Cf. Also the derivatives шашкъын 'surprised, amazed: bewildered, lost: frightened: mad, crazy': шашыр- 'to get confused, to confuse: to be startled: to be wrong: to get lost'"	 IG
1858	to go down	→	to set (of heavenly bodies)	New	IG	Polysemy	Romanian	oma1329 	a coborî	 'to descend' 	'to go under' 	 	 DRRS 1, 478, DEX98	 MR
1859	liquid (adj.)	→	high-pitched (of sound)	New	IG	Polysemy	Mongolian (Khalkha)	halh1238	šingen	 'liquid, thin' 	'high pitched (voice)' 	 	 	 IG
1860	to meet (each other)	→	to swear, curse, abuse one another	New	IG	Polysemy	Gagauz	gaga1249	karşılaş-	 'to meet, to confront face to face' 	'to swear, to curse' 	 	 ГРМС 252.	 IG
1861	heavy (of weight)	→	low (of voice)	New	IG	Polysemy	Latin	lati1261	gravis	 'heavy' 	'low pitched, rich, hollow' 	 	 Glare 775	 IG
1862	to present, gift	→	to promise	New	IG	Polysemy	Gagauz	gaga1249	ada-	 'to give, to bestow' 	'to promise' 	 	 ГРМС 25.	 IG
1863	colour	→	timbre	New	IG	Polysemy	Mongolian (Khalkha)	halh1238	öngö	 'colour' 	'timbre' 	 	 	 IG
1864	heavy (of weight)	→	slow (adj.)	New	IG	Polysemy	Turkish	nucl1301	ağır	 'heavy' 	'slow' 	 	 Gag. аар 'heavy: slow'	 IG
1865	to go around	→	to deceive	New	IG	Polysemy	Gagauz	gaga1249	ayla-	 'to go round' 	'to deceive' 	 	 ГРМС 32.	 IG
1866	moon	→	menstruation	Accepted	IG	Polysemy	Swahili	swah1253	mwezi	 'moon' 	'menstrual flux' 	 	 Polikanov	 MR
1867	to take	→	bribe	New	IG	Derivation	Gagauz	gaga1249	al-	 'to take'  		 	 ГРМС 44.	 IG
1868	road	→	Milky Way	Accepted	IG	Derivation	Romanian	oma1329 	drum	 'road' → 		 	 Stand. Calea Lactee	 MR
1869	to burn (intr.)	→	passionate	New	All									
1870	to open (tr.)	→	to switch on	New	IG	Polysemy	Mandarin Chinese	mand1415	kāi	 'to open' 	'to switch on' 	 	 	 MR
1871	soft (adj.)	→	tasteless	New	IG	Polysemy	Gagauz	gaga1249	baygın	 'weak, soft, undurable (metal)' 	'fresh, insipid' 	 	 ГРМС 68. Или пример про другое?	 IG
1872	to step on	→	to come (of an event)	Suspended	IG	Polysemy	Russian	russ1263	nastupat'	 'to step, to tread' 	'to attack' 	 	 	 IG
1873	to dislocate (of a joint)	→	to go mad	New	IG	Derivation	Russian	russ1263	vyvihnut'	 'to dislocate, to disjoint'  		 	 	 IG
1874	to spoil (intr.)	↔	to go mad	New	IG	Polysemy	Gagauz	gaga1249	bozul-	 'to get spoilt, to rot' 	'to go mad' 	 	 ГРМС 88.	 IG
1875	to prop up	→	to help, aid	Accepted	IG	Polysemy	Hungarian	hung1274	támogat	 'support, prop up' 	'aid, help' 	 	 Haser 2000, 184	 MR
1876	to lean on/against	→	to endure	New	IG	Polysemy	Tabassaran	taba1259	kp(t)isub	 'to stick, to glue' 	'to bear, to stand' 	 	 (TabRus 201)	 TM
1877	blood vessel	→	muscle	New	IG	Polysemy	Gagauz	gaga1249	damar	 'sinew, vessel, vein' 	'muscle' 	 	 ГРМС 131.	 IG
1878	camel	→	glutton	Suspended	IG	Polysemy	Gagauz	gaga1249	devä	 'camel' 	'voracious, insatiable' 	 	 ГРМС 135.	 IG
1879	to go mad	→	to be angry	New	IG	Polysemy	Gagauz	gaga1249	deler-	 'to go mad' 	'to be angry, to be furious' 	 	 ГРМС 136. The verb has been derived from a nominal stem meaning 'mad, crazy'.	 IG
1880	to change (tr.)	→	to be unfaithful (to one's husband or wife)	New	IG	Polysemy	Russian	russ1263	menjat'	 'to (ex)change' 	'to cheat on' 	 	 	 IG
1881	steep	→	bold, insolent	New	IG	Polysemy	Russian	russ1263	krutoj	 'steep' 	'tough' 	 	 Случаи типа крутая тачка - это отдельный переход, видимо.	 IG
1882	atheist	→	cruel	New	IG	Polysemy	Gagauz	gaga1249	dinsiz	 'areligious, non-believer, ateist' 	'cruel, fierce' 	 	 ГРМС 146. The forms have been derived from дин 'faith' by adding an abessive affix.	 IG
1883	tooth	→	clove, segment	New	IG	Polysemy	Tabassaran	taba1259	saχʷ	 'jaw-tooth, grinder' 	'clove' 	 	 (TabRus 270)	 TM
1884	to leave	→	to let	Accepted	IG	Polysemy	Geez	geez1241	ḫadaga	 'leave, abandon' 	'allow, permit' 	 	 (LGz. 258: LLA 615-616: Haser 2000, 184-185)	 MR
1885	to pull	→	bow-string	New	IG	Derivation	Gagauz	gaga1249	ger-	 'to pull'  		 	 ГРМС 110.	 IG
1886	to fill (tr.)	→	to become infected	New	IG	Polysemy	Gagauz	gaga1249	dol-	 'to fill' 	'to catch (a desease)' 	 	 ГРМС 153.	 IG
1887	to stand	→	to be situated	New	IG	Polysemy	Icelandic	icel1247	standa	 'to stand' 	'to be, to be located' 	 	 Берков	 MR
1888	to be born	↔	to rise (of heavenly bodies)	New	IG	Polysemy	Gagauz	gaga1249	duu-	 'to be born' 	'to rise (sun, moon)' 	 	 	 IG
1889	straight	→	healthy	New	IG	Derivation	Gagauz	gaga1249	düz	 'even, smooth, straight, flat'  		 	 ГРМС 167.	 IG
1890	straight	→	fat (adj.)(of a person)	New	IG	Polysemy	Russian	russ1263	pravil'nyj	 'right, correct' 	'to get better' 	 	 	 IG
1891	yesterday	→	recently	New	IG	Polysemy	Gagauz	gaga1249	dünkü	 'yestarday's' 	'recent, recently' 	 	 ГРМС 168. from дÿн 'yesterday'.	 IG
1892	to sting	→	to induce	Accepted	IG	Polysemy	Russian	russ1263	strekat'	 'to jab, to sting' 	'to incite' 	 	 	 IG
1893	weak	—	bad (ethically)	New	IG	Polysemy	Gagauz	gaga1249	düşkün	 'weak, exhausted' 	'mean' 	 	 ГРМС 170.	 IG
1894	weak	→	inclination to smth	New	IG	Polysemy	Russian	russ1263	slabost'	 'weakness' 	'soft spot' 	 	 Сюда ли - слаба на передок?	 IG
1895	to fall down	→	to be related to	New	IG	Polysemy	Gagauz	gaga1249	düş-	 'to fall' 	'to be related to' 	 	 ГРМС 170-171.	 IG
1896	to be enough	→	to cost	New	IG	Polysemy	Gagauz	gaga1249	et-	 'to be enough' 	'to cost' 	 	 ГРМС 180.	 IG
1897	wolf (Canis lupus)	—	cruel	New	IG	Polysemy	Gagauz	gaga1249	canavar	 'wolf' 	'cruel' 	 	 ГРМС 184. Не знаю, какое из значений является исходным.	 IG
1898	lung	—	liver	Suspended	IG	Polysemy	Gagauz	gaga1249	ceer	 'lung' 	'liver' 	 	 ГРМС 185. The dictionary has more similar examples, presumably for the differentiation positions, e.g. : ак җеер 'lung', кара җеер 'liver' (i.e. white җеер and black and black җеер). The same in Turk. ciğer 'lung, liver' ТуРС 156.	 IG
1899	good	→	ОК	New	IG	Polysemy	Tigre	tigr1270	sanni	 'good, beautiful' 	'well' 	 	 (LH 189)	 MB
1900	work (n.)	→	thing	New	IG	Polysemy	Gagauz	gaga1249	iş	 'work' 	'thing' 	 	 ГРМС 206.	 IG
1901	slow (adj.)	→	meek	New	IG	Polysemy	Gagauz	gaga1249	yavaş	 'slow' 	'meek, humble' 	 	 ГРМС 208.	 IG
1902	to pull	→	bow (weapon)	New	IG	Polysemy	Gagauz	gaga1249	yay-	 'to stretch, to move apart' 	'bow' 	 	 ГРМС 209.	 IG
1903	work (n.)	→	verb	New	IG	Derivation	Gagauz	gaga1249	iş	 'work'  		 	 ГРМС 216.	 IG
1904	flat (adj)	→	unfunny	New	IG	Polysemy	Russian	russ1263	ploskij	 'flat' 	'stupid' 	 	 	 IG
1905	bed	→	river-bed	Accepted	IG	Polysemy	Russian	russ1263	lože	 'couch, bed' 	'bed' 	 	 	 IG
1906	to crackle	→	cartilage	Accepted	IG	Polysemy	Gagauz	gaga1249	kakırda-	 'to crunch' 	'gristle' 	 	 ГРМС 233.	 IG
1907	black	→	sad	Accepted	IG	Polysemy	Occitan	occi1239	negror	 'blackness' 	'sadness' 	 	 Бурсье 272	 MR
1908	to mix, stir	→	to involve	New	IG	Polysemy	Gagauz	gaga1249	karıştır-	 'to mix, to blend, to mingle' 	'to get involved, to meddle' 	 	 ГРМС 253.	 IG
